,종목명,현재가,거래량
0,KODEX 200선물인버스2X,"3,380","119,873,205"
1,KODEX 코스닥150선물인버스,"5,255","34,865,475"
2,SH에너지화학,"1,050","25,529,822"
3,현대약품,"6,450","21,590,671"
4,KODEX 인버스,"5,065","20,312,439"
5,KODEX 레버리지,"13,995","18,364,625"
6,국동,"2,035","11,710,637"
7,GS글로벌,"3,480","10,526,523"
8,KODEX 코스닥150레버리지,"7,855","10,285,219"
9,아남전자,"2,490","9,601,071"
10,TIGER 차이나전기차SOLACTIVE,"16,455","9,396,266"
11,삼성 인버스 2X WTI원유 선물 ETN,120,"8,202,546"
12,일동제약,"41,100","7,962,931"
13,대한전선,"1,760","7,042,632"
14,삼성전자,"58,300","6,381,809"
15,TIGER 200선물인버스2X,"3,540","6,281,623"
16,사조동아원,"1,515","4,326,256"
17,쌍방울,550,"3,880,236"
18,삼부토건,"2,180","3,723,770"
19,고려산업,"6,720","3,600,976"
20,까뮤이앤씨,"2,225","3,457,420"
21,DB하이텍,"41,600","2,993,229"
22,대성에너지,"11,350","2,771,459"
23,삼성중공업,"5,330","2,575,018"
24,KODEX 코스닥150,"10,620","2,550,300"
25,TRUE 인버스 2X 천연가스 선물 ETN(H),650,"2,526,313"
26,신한 인버스 2X 천연가스 선물 ETN,355,"2,434,522"
27,부산주공,823,"2,358,600"
28,후성,"16,150","2,345,039"
29,신한 인버스 2X WTI원유 선물 ETN(H),110,"2,268,222"
30,에이프로젠 MED,"1,590","2,213,758"
31,KODEX 200,"30,570","2,197,983"
32,NPC,"9,000","2,174,299"
33,KBSTAR KIS단기종합채권(AA-이상)액티브,"100,785","2,109,925"
34,두산에너빌리티,"17,950","2,109,663"
35,팬오션,"5,200","2,003,868"
36,서울식품,250,"1,800,887"
37,KODEX WTI원유선물인버스(H),"4,320","1,800,570"
38,LG디스플레이,"14,550","1,704,999"
39,KEC,"2,505","1,667,521"
40,TYM,"2,390","1,649,247"
41,일동홀딩스,"31,600","1,585,737"
42,국제약품,"5,970","1,567,268"
43,신일전자,"2,070","1,533,007"
44,KODEX 단기채권,"103,410","1,492,940"
45,SK하이닉스,"93,600","1,415,893"
46,대한항공,"23,400","1,371,850"
47,대한제당,"3,260","1,312,735"
48,TIGER 원유선물인버스(H),"3,010","1,282,721"
49,SK바이오사이언스,"147,500","1,222,909"
50,와이투솔루션,763,"1,214,394"
51,대호에이엘,"2,335","1,207,267"
52,대원화성,"2,820","1,189,812"
53,써니전자,"2,705","1,171,788"
54,KODEX 은행,"5,910","1,170,816"
55,한창,912,"1,152,838"
56,HMM,"23,550","1,095,227"
57,우리금융지주,"11,400","1,067,292"
58,진흥기업,"1,610","1,044,011"
59,광명전기,"2,960","1,020,761"
60,하나금융지주,"35,800","1,000,469"
61,부광약품,"8,900","993,514"
62,한국토지신탁,"1,595","991,131"
63,KODEX 2차전지산업,"16,725","989,743"
64,미래에셋증권,"6,150","984,146"
65,한신기계,"8,790","933,415"
66,SG세계물산,539,"927,511"
67,일진홀딩스,"6,390","923,930"
68,대한해운,"2,305","906,235"
69,신성이엔지,"1,830","903,578"
70,에스디바이오센서,"48,350","897,094"
71,TIGER 2차전지테마,"16,840","895,116"
72,카카오뱅크,"30,100","890,066"
73,대성산업,"5,030","886,636"
74,수산중공업,"3,000","879,756"
75,TIGER 코스닥150선물인버스,"5,375","870,370"
76,한화투자증권,"3,025","866,168"
77,우리종금,891,"810,825"
78,진원생명과학,"12,000","799,022"
79,TIGER KEDI혁신기업ESG30,"8,690","791,114"
80,카카오,"70,000","787,547"
81,대원제약,"18,850","772,641"
82,동양철관,"1,050","769,385"
83,KODEX 미국달러선물인버스2X,"7,125","739,691"
84,신송홀딩스,"11,850","733,032"
85,신한 인버스 2X 천연가스 선물 ETN(H),210,"723,849"
86,팜젠사이언스,"8,580","722,764"
87,삼성 블룸버그 인버스 2X WTI원유 선물 ETN,"17,310","700,624"
88,남선알미늄,"2,055","691,871"
89,KG스틸,"12,350","681,802"
90,기아,"78,200","677,932"
91,한화생명,"2,095","675,860"
92,제이알글로벌리츠,"4,370","673,620"
93,한국항공우주,"47,900","662,194"
94,신한지주,"35,550","655,276"
95,금호에이치티,"1,240","650,867"
96,이연제약,"25,700","649,549"
97,BNK금융지주,"6,470","640,939"
98,에어부산,"1,360","640,899"
99,신풍제약,"26,000","637,650"
