,노래 제목,가수
0,그때 그 순간 그대로 (그그그),WSG워너비 (가야G)
1,보고싶었어,WSG워너비 (4FIRE)
2,POP!,나연 (TWICE)
3,LOVE DIVE,IVE (아이브)
4,Clink Clink (클링 클링),WSG워너비 (오아시소)
5,TOMBOY,(여자)아이들
6,That That (prod. & feat. SUGA of BTS),싸이 (PSY)
7,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
8,사랑인가 봐,멜로망스
9,나의 X에게,경서
10,사랑은 늘 도망가,임영웅
11,우리들의 블루스,임영웅
12,Girls,aespa
13,그라데이션,10CM
14,LOVE me,BE'O (비오)
15,다시 만날 수 있을까,임영웅
16,봄여름가을겨울 (Still Life),BIGBANG (빅뱅)
17,FEARLESS,LE SSERAFIM (르세라핌)
18,Yet To Come,방탄소년단
19,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, 정국, 방탄소년단"
20,취중고백,김민석 (멜로망스)
21,무지개,임영웅
22,내가 아니라도,주호
23,Feel My Rhythm,Red Velvet (레드벨벳)
24,이제 나만 믿어요,임영웅
25,아버지,임영웅
26,신호등,이무진
27,아무래도 난,주시크 (Joosiq)
28,I LOVE U,WINNER
29,ELEVEN,IVE (아이브)
30,손이 참 곱던 그대,임영웅
31,바보에게 바보가 (웹툰 '연애의 발견' X 이석훈),이석훈
32,Love story,볼빨간사춘기
33,A bientot,임영웅
34,사랑해 진짜,임영웅
35,인생찬가,임영웅
36,연애편지,임영웅
37,다정히 내 이름을 부르면,"경서예지, 전건호"
38,사랑역,임영웅
39,MY BAG,(여자)아이들
40,Dynamite,방탄소년단
41,Sparkling,청하
42,보금자리,임영웅
43,사랑해요 그대를,임영웅
44,GANADARA (Feat. 아이유),박재범
45,늦은 밤 헤어지긴 너무 아쉬워,케이시 (Kassy)
46,Butter,방탄소년단
47,That's Hilarious,Charlie Puth
48,STAY,"The Kid LAROI, Justin Bieber"
49,고백하는 취한밤에 (Prod. 2soo),임재현
50,Next Level,aespa
51,INVU,태연 (TAEYEON)
52,열이올라요 (Heart Burn),선미
53,팡파레,다비치
54,듣고 싶을까,MSG워너비(M.O.M)
55,없었던 일로,헤이즈 (Heize)
56,도깨비불 (Illusion),aespa
57,Permission to Dance,방탄소년단
58,Weekend,태연 (TAEYEON)
59,너의 모든 순간,성시경
60,너를 생각해,주시크 (Joosiq)
61,해요 (2022),#안녕
62,SMILEY (Feat. BIBI),YENA (최예나)
63,HOT,세븐틴
64,ZOOM,제시 (Jessi)
65,"낭만교향곡 (Feat. CHANGMO, 박재범)",BIG Naughty (서동현)
66,Life′s Too Short (English Ver.),aespa
67,봄날,방탄소년단
68,드라마,아이유
69,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo
70,언제나 사랑해,케이시 (Kassy)
71,내 손을 잡아,아이유
72,바라만 본다,MSG워너비(M.O.M)
73,OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO (파테코)"
74,My Universe,"Coldplay, 방탄소년단"
75,With you,"지민, 하성운"
76,리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오)
77,strawberry moon,아이유
78,그 하루(feat.반하나),주호
79,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
80,"스물다섯, 스물하나",자우림
81,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단
82,밤하늘의 별을(2020),경서
83,Savage,aespa
84,라일락,아이유
85,Celebrity,아이유
86,Off My Face,Justin Bieber
87,미친 것처럼,V.O.S
88,롤린 (Rollin'),브레이브걸스
89,Born Singer,방탄소년단
90,Blueming,아이유
91,눈이 오잖아(Feat.헤이즈),이무진
92,문득,BE'O (비오)
93,호랑수월가,탑현
94,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들
95,Bad Habits,Ed Sheeran
96,헤픈 우연,헤이즈 (Heize)
97,고백,멜로망스
98,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (MAKTUB)
99,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
